,Finish,Steps (count)
0,2022-01-02,14739.999999999998
1,2022-01-09,48061.00000000001
2,2022-01-16,45772.00000000001
3,2022-01-23,64604.99999999999
4,2022-01-30,52110.99999999999
5,2022-02-06,52745.999999999985
6,2022-02-13,57124.00000000002
7,2022-02-20,66693.99999999999
8,2022-02-27,47431.00000000001
9,2022-03-06,51289.99999999999
10,2022-03-13,53691.99999999999
11,2022-03-20,56876.0
12,2022-03-27,67034.99999999999
13,2022-04-03,54875.00000000001
14,2022-04-10,59333.0
15,2022-04-17,61871.591248161196
16,2022-04-24,57057.408751838804
17,2022-05-01,27508.000000000007
18,2022-05-08,53033.00000000001
19,2022-05-15,55363.0
20,2022-05-22,49861.999999999985
21,2022-05-29,57809.99999999999
22,2022-06-05,52799.00000000001
23,2022-06-12,52088.000000000015
24,2022-06-19,46412.999999999985
25,2022-06-26,44960.0
26,2022-07-03,59203.0
27,2022-07-10,42272.000000000015
28,2022-07-17,54566.999999999985
29,2022-07-24,52939.99999999999
30,2022-07-31,61220.00000000002
31,2022-08-07,62450.035842155135
32,2022-08-14,56873.619987730846
33,2022-08-21,59772.3148671422
34,2022-08-28,54765.57849076069
35,2022-09-04,50097.131635870515
36,2022-09-11,65206.684002947724
37,2022-09-18,13084.366487907088
