Finish,Steps (count)
2022-01-02,14972.999999999993
2022-01-09,51068.999999999985
2022-01-16,48085.00000000001
2022-01-23,43865.99999999999
2022-01-30,52397.00000000001
2022-02-06,50534.999999999985
2022-02-13,73613.99999999999
2022-02-20,51934.00000000001
2022-02-27,65812.99999999999
2022-03-06,24575.0
2022-03-13,54881.99999999999
2022-03-20,70807.0
2022-03-27,75102.0
2022-04-03,64158.000000000015
2022-04-10,31202.000000000004
2022-04-17,68882.0
2022-04-24,82425.99999999999
2022-05-01,74663.00000000001
2022-05-08,72411.99999999999
2022-05-15,83371.99999999999
2022-05-22,72488.0
2022-05-29,46161.00000000001
2022-06-05,46354.000000000015
2022-06-12,40616.99999999999
2022-06-19,63484.99999999999
2022-06-26,58328.999999999985
2022-07-03,54285.99999999998
2022-07-10,64436.0
2022-07-17,41494.00000000001
2022-07-24,58219.0
2022-07-31,76015.00000000001
2022-08-07,73545.0
2022-08-14,58353.99999999999
2022-08-21,64107.00000000001
2022-08-28,61963.0
2022-09-04,72736.00000000001
2022-09-11,100093.99999999999
2022-09-18,228.0
